record_id,branch_code,entity_name,circle_zone,branch_tier,fiscal_year,period_type,merger_cutoff_date,gross_npa_pct,net_npa_pct,cost_to_income_pct,roa_pct,casa_ratio_pct,car_crar_pct,advances_inr_cr,deposits_inr_cr
1,BR-8270,State Bank of Travancore,Kolkata,Metro,2017,Pre-Merger,2017-01-04,11.87,6.27,61.35,0.52,45.04,11.56,340.43,422.57
2,BR-9666,State Bank of India (Parent),Ahmedabad,Metro,2016,Pre-Merger,2017-04-01,8.12,4.13,55.5,-0.11,41.57,12.16,742.8,1045.85
3,BR-6393,State Bank of Travancore,Mumbai Metro,Urban,2017,Pre-Merger,2017-04-01,3.31,1.67,59.54,-0.1,37.89,13.24,1263.14,1518.31
4,BR-4943,State Bank of India (Parent),Chandigarh,Rural,2017,Pre-Merger,2017-04-01,14.86,8.82,48.52,0.47,43.95,12.39,205.66,248.6
5,BR-8892,State Bank of India (Consolidated),Chandigarh,Semi-Urban,2021,Post-Merger,2017-04-01,6.4,2.35,53.44,0.81,46.97,12.96,314.68,363.36
6,BR-3027,State Bank of India (Consolidated),Chandigarh,Rural,2021,Post-Merger,2017-04-01,3.91,0.98,49.41,1.09,48.63,15.01,185.14,232.82
7,BR-9392,State Bank of India (Consolidated),Bengaluru,Semi-Urban,2021,Post-Merger,2017-01-04,4.2,1.36,46.77,1.2,49.82,12.21,876.97,1109.26
8,BR-8385,State Bank of India (Consolidated),Ahmedabad,Urban,2020,Post-Merger,2017-01-04,7.11,2.87,58.0,0.46,44.1,14.03,233.21,270.39
9,BR-6116,State Bank of India (Consolidated),Thiruvananthapuram,Rural,2021,Post-Merger,2017-01-04,4.41,1.99,47.26,0.28,46.17,14.26,1066.59,1508.31
10,BR-3693,State Bank of Patiala,Chennai,Urban,2017,Pre-Merger,2017-04-01,11.75,6.27,54.94,0.93,38.19,11.84,403.67,515.94
11,BR-8526,State Bank of India (Consolidated),Mumbai Metro,Metro,2019,Post-Merger,2017-04-01,1.5,0.44,48.51,0.66,42.69,13.91,816.68,1111.42
12,BR-7585,State Bank of India (Parent),Mumbai Metro,Metro,2017,Pre-Merger,2017-04-01,11.09,6.94,51.09,0.62,40.74,12.58,126.93,159.11
13,BR-6249,State Bank of India (Consolidated),Kolkata,Urban,2018,Post-Merger,2017-01-04,6.55,1.95,47.17,1.18,48.13,15.05,602.25,806.83
14,BR-7287,State Bank of India (Parent),Chennai,Semi-Urban,2014,Pre-Merger,2017-04-01,6.89,4.08,58.05,0.61,36.61,11.45,1089.83,1517.97
15,BR-2843,State Bank of Mysore,Lucknow,Urban,2014,Pre-Merger,2017-01-04,11.79,5.65,54.12,-0.12,39.71,13.09,1240.46,1633.14
16,BR-6423,State Bank of India (Consolidated),Jaipur,Urban,2019,Post-Merger,2017-04-01,3.56,1.53,48.19,1.05,41.17,12.52,1110.86,1576.46
17,BR-2648,State Bank of India (Consolidated),Chennai,Semi-Urban,2021,Post-Merger,2017-04-01,7.14,2.61,51.39,0.98,44.92,13.93,716.76,1038.11
18,BR-7944,State Bank of India (Consolidated),Bengaluru,Semi-Urban,2019,Post-Merger,2017-01-04,2.22,0.7,50.13,1.22,46.99,15.23,887.0,1044.98
19,BR-2045,State Bank of India (Consolidated),Lucknow,Semi-Urban,2019,Post-Merger,2017-04-01,6.5,2.26,47.43,0.73,48.55,15.66,1029.87,1451.34
20,BR-8683,State Bank of Patiala,Mumbai Metro,Semi-Urban,2016,Pre-Merger,2017-04-01,5.5,2.79,54.45,0.46,43.43,11.82,1141.76,1639.48
21,BR-1606,Bharatiya Mahila Bank,Jaipur,Metro,2016,Pre-Merger,2017-04-01,9.1,4.86,52.36,0.28,34.0,10.72,1278.78,1827.38
22,BR-5014,State Bank of India (Consolidated),Ahmedabad,Urban,2019,Post-Merger,2017-04-01,2.82,0.91,43.95,0.42,48.59,13.56,274.0,373.37
23,BR-3806,State Bank of Patiala,Delhi NCR,Urban,2015,Pre-Merger,2017-04-01,11.45,7.37,68.0,1.15,44.95,12.46,559.95,707.03
24,BR-1853,State Bank of Bikaner and Jaipur,Hyderabad,Urban,2016,Pre-Merger,2017-01-04,10.36,6.19,57.59,-0.62,39.11,13.4,260.43,340.3
25,BR-1004,State Bank of India (Consolidated),Hyderabad,Metro,2020,Post-Merger,2017-04-01,10.44,3.94,54.2,0.1,46.15,13.31,703.34,825.4
26,BR-6949,State Bank of India (Consolidated),Chandigarh,Semi-Urban,2020,Post-Merger,2017-01-04,7.52,2.52,45.8,0.84,45.1,15.1,420.5,495.42
27,BR-4343,State Bank of India (Consolidated),Hyderabad,Metro,2018,Post-Merger,2017-01-04,6.62,2.46,53.48,0.25,43.81,15.62,100.44,119.0
28,BR-3141,State Bank of India (Consolidated),Kolkata,Semi-Urban,2019,Post-Merger,2017-04-01,4.56,2.03,49.86,0.99,43.82,11.59,1002.68,1167.54
29,BR-3849,State Bank of India (Parent),Bhopal,Rural,2017,Pre-Merger,2017-04-01,9.99,6.53,65.07,-0.24,42.85,12.42,117.65,155.97
30,BR-7833,State Bank of Mysore,Lucknow,Metro,2016,Pre-Merger,2017-01-04,7.88,4.59,57.59,0.39,42.76,12.08,1365.6,1650.65
31,BR-9945,State Bank of India (Parent),Jaipur,Semi-Urban,2016,Pre-Merger,2017-01-04,6.1,3.8,61.57,-0.39,37.7,14.35,574.64,822.31
32,BR-8164,State Bank of Hyderabad,Ahmedabad,Rural,2014,Pre-Merger,2017-01-04,9.67,5.57,62.92,1.2,38.54,12.62,435.02,576.04
33,BR-4440,State Bank of India (Consolidated),Lucknow,Rural,2020,Post-Merger,2017-01-04,7.47,2.02,47.26,0.78,48.76,13.47,1351.64,1712.2
34,BR-9082,State Bank of India (Parent),Chennai,Semi-Urban,2017,Pre-Merger,2017-01-04,12.84,8.63,54.4,1.2,37.59,12.18,210.22,279.75
35,BR-8651,State Bank of India (Consolidated),Delhi NCR,Rural,2018,Post-Merger,2017-04-01,7.09,1.9,49.59,0.54,45.47,11.59,1340.54,1682.75
36,BR-8241,State Bank of Hyderabad,Mumbai Metro,Rural,2015,Pre-Merger,2017-04-01,15.47,8.01,55.6,0.05,39.12,12.46,200.47,289.88
37,BR-9702,State Bank of India (Consolidated),Lucknow,Semi-Urban,2020,Post-Merger,2017-04-01,4.53,1.84,46.39,0.1,51.0,13.74,745.5,869.92
38,BR-4072,State Bank of Hyderabad,Hyderabad,Metro,2016,Pre-Merger,2017-04-01,9.79,6.59,47.99,-0.16,39.63,12.7,1447.78,1670.23
39,BR-6348,State Bank of Hyderabad,Lucknow,Rural,2017,Pre-Merger,2017-04-01,9.88,6.06,56.74,0.09,48.44,13.52,1359.64,1582.12
40,BR-6063,State Bank of India (Consolidated),Lucknow,Urban,2019,Post-Merger,2017-04-01,9.35,3.19,41.68,1.05,44.95,12.47,581.76,770.89
41,BR-5835,State Bank of India (Consolidated),Bengaluru,Semi-Urban,2021,Post-Merger,2017-04-01,4.96,1.52,47.01,1.38,40.28,13.32,188.2,269.53
42,BR-2838,State Bank of Bikaner and Jaipur,Bhopal,Semi-Urban,2014,Pre-Merger,2017-04-01,8.51,5.68,54.17,0.18,42.18,10.99,620.87,894.66
43,BR-5000,State Bank of India (Parent),Hyderabad,Urban,2015,Pre-Merger,2017-04-01,10.5,6.26,52.32,0.54,41.77,13.96,1155.06,1459.25
44,BR-6997,State Bank of Travancore,Delhi NCR,Urban,2014,Pre-Merger,2017-01-04,11.72,7.14,57.7,-0.32,34.86,13.61,241.25,326.04
45,BR-1770,State Bank of India (Parent),Bhopal,Metro,2016,Pre-Merger,2017-01-04,8.0,4.6,65.93,0.71,45.85,12.42,943.48,1265.2
46,BR-2331,State Bank of Bikaner and Jaipur,Hyderabad,Urban,2014,Pre-Merger,2017-01-04,9.96,6.38,61.83,-0.48,34.19,12.14,731.97,1056.97
47,BR-7269,State Bank of Hyderabad,Bengaluru,Urban,2016,Pre-Merger,2017-04-01,11.35,6.62,45.22,-0.71,47.0,11.2,1069.03,1361.41
48,BR-1671,State Bank of Hyderabad,Lucknow,Metro,2015,Pre-Merger,2017-04-01,11.6,6.26,52.24,0.98,40.06,12.12,859.18,1125.81
49,BR-3593,State Bank of Bikaner and Jaipur,Chennai,Metro,2014,Pre-Merger,2017-01-04,9.47,6.1,54.69,-0.07,41.86,12.08,1224.81,1683.47
50,BR-1638,State Bank of India (Consolidated),Ahmedabad,Semi-Urban,2021,Post-Merger,2017-04-01,5.48,1.9,41.44,1.26,51.26,13.8,132.09,161.91
51,BR-1918,State Bank of India (Consolidated),Lucknow,Metro,2019,Post-Merger,2017-04-01,5.22,1.72,50.63,0.88,43.79,14.41,1273.81,1498.97
52,BR-4596,State Bank of Bikaner and Jaipur,Lucknow,Metro,2017,Pre-Merger,2017-01-04,5.67,3.2,53.16,1.2,47.25,12.81,871.99,1156.22
53,BR-3472,State Bank of India (Consolidated),Jaipur,Rural,2018,Post-Merger,2017-01-04,8.55,3.11,42.22,0.29,47.47,13.32,344.93,426.17
54,BR-9434,State Bank of India (Consolidated),Bengaluru,Rural,2020,Post-Merger,2017-04-01,4.97,1.65,48.68,0.75,46.33,14.43,446.22,536.03
55,BR-5289,State Bank of India (Consolidated),Kolkata,Semi-Urban,2020,Post-Merger,2017-04-01,2.58,1.08,57.14,0.46,47.74,14.36,1084.27,1496.65
56,BR-5234,State Bank of India (Consolidated),Jaipur,Rural,2020,Post-Merger,2017-04-01,9.15,3.17,44.72,0.8,42.49,13.64,169.99,245.97
57,BR-9512,State Bank of India (Consolidated),Hyderabad,Semi-Urban,2020,Post-Merger,2017-01-04,8.0,2.95,50.13,0.1,42.71,14.79,1259.48,1813.03
58,BR-6256,State Bank of India (Parent),Bengaluru,Metro,2015,Pre-Merger,2017-04-01,9.15,4.68,56.7,1.2,40.52,12.33,1209.28,1463.82
59,BR-3898,State Bank of Hyderabad,Mumbai Metro,Metro,2016,Pre-Merger,2017-01-04,8.92,5.41,57.24,0.05,48.63,12.81,966.22,1267.62
60,BR-2248,State Bank of India (Consolidated),Jaipur,Semi-Urban,2020,Post-Merger,2017-01-04,6.46,2.11,50.59,0.81,42.4,14.44,1414.56,1893.12
61,BR-8667,State Bank of India (Consolidated),Hyderabad,Rural,2020,Post-Merger,2017-04-01,5.88,2.34,51.21,1.07,49.03,13.5,370.45,505.38
62,BR-7028,State Bank of India (Consolidated),Delhi NCR,Metro,2020,Post-Merger,2017-01-04,6.64,2.16,55.78,0.45,56.0,14.32,770.63,980.77
63,BR-3674,State Bank of Hyderabad,Thiruvananthapuram,Semi-Urban,2016,Pre-Merger,2017-04-01,12.1,7.85,61.55,0.28,42.31,11.75,488.86,652.38
64,BR-1984,State Bank of India (Parent),Lucknow,Urban,2014,Pre-Merger,2017-01-04,5.15,3.39,54.99,0.79,42.92,12.45,1084.28,1296.54
65,BR-7024,State Bank of India (Consolidated),Chandigarh,Semi-Urban,2019,Post-Merger,2017-04-01,5.27,1.49,45.41,0.93,44.14,12.62,402.9,536.81
66,BR-9393,State Bank of Patiala,Bhopal,Urban,2017,Pre-Merger,2017-04-01,6.28,3.82,53.55,-0.22,34.78,9.5,1384.21,1835.63
67,BR-2205,State Bank of India (Consolidated),Mumbai Metro,Rural,2021,Post-Merger,2017-04-01,3.63,0.93,48.25,1.14,43.06,13.01,382.01,498.35
68,BR-1688,State Bank of Bikaner and Jaipur,Bengaluru,Urban,2017,Pre-Merger,2017-01-04,7.49,3.86,54.5,0.44,38.29,12.36,1144.94,1388.78
69,BR-3717,State Bank of India (Consolidated),Kolkata,Semi-Urban,2018,Post-Merger,2017-04-01,3.18,1.33,52.77,0.2,47.95,14.38,838.93,1085.85
70,BR-7016,State Bank of India (Consolidated),Lucknow,Rural,2021,Post-Merger,2017-01-04,9.35,3.95,46.63,0.96,48.42,12.51,660.4,764.49
71,BR-4462,State Bank of India (Consolidated),Lucknow,Metro,2018,Post-Merger,2017-01-04,8.22,1.99,47.26,0.79,40.56,12.05,888.61,1258.48
72,BR-8970,State Bank of India (Consolidated),Thiruvananthapuram,Metro,2021,Post-Merger,2017-04-01,7.82,3.5,51.95,0.93,44.53,12.83,540.07,635.16
73,BR-3198,State Bank of India (Consolidated),Hyderabad,Urban,2018,Post-Merger,2017-04-01,2.73,1.17,53.91,0.6,49.17,13.25,918.22,1129.8
74,BR-2279,State Bank of India (Consolidated),Mumbai Metro,Urban,2019,Post-Merger,2017-01-04,3.22,1.04,45.81,0.95,46.08,12.93,1479.22,1910.15
