record_id,branch_code,entity_name,circle_zone,branch_tier,fiscal_year,period_type,merger_cutoff_date,gross_npa_pct,net_npa_pct,cost_to_income_pct,roa_pct,casa_ratio_pct,car_crar_pct,advances_inr_cr,deposits_inr_cr
1,BR-8270,State Bank of Travancore,Kolkata,Metro,2017,Pre-Merger,01/04/2017,11.87%,6.27%,61.35%,0.52%,45.04%,11.56%,340.43,422.57
2,BR-9666,State Bank of India (Parent),Ahmedabad,Metro,2016,Pre-Merger,2017-04-01,8.12%,4.13%,55.50%,-0.11%,41.57%,12.16%,742.80,"1,045.85"
3,BR-6393,State Bank of Travancore,Mumbai Metro,Urban,2017,Pre-Merger,2017-04-01,3.31%,1.67%,59.54%,-0.10%,37.89%,13.24%,"1,263.14","1,518.31"
4,BR-4943,State Bank of India (Parent),Chandigarh,Rural,2017,Pre-Merger,2017-04-01,14.86%,8.82%,48.52%,0.47%,43.95%,12.39%,205.66,248.60
5,BR-8892,State Bank of India (Consolidated),Chandigarh,Semi-Urban,2021,Post-Merger,2017-04-01,6.40%,2.35%,53.44%,0.81%,46.97%,12.96%,314.68,363.36
6,BR-3027,State Bank of India (Consolidated),Chandigarh,Rural,2021,Post-Merger,2017-04-01,3.91%,0.98%,49.41%,1.09%,48.63%,15.01%,185.14,232.82
7,BR-9392,State Bank of India (Consolidated),Bengaluru,Semi-Urban,2021,Post-Merger,01/04/2017,4.20%,1.36%,46.77%,1.20%,49.82%,12.21%,876.97,"1,109.26"
8,BR-8385,State Bank of India (Consolidated),Ahmedabad,Urban,2020,Post-Merger,01/04/2017,7.11%,2.87%,58.00%,0.46%,44.10%,14.03%,233.21,270.39
9,BR-6116,State Bank of India (Consolidated)   ,Thiruvananthapuram,Rural,2021,Post-Merger,01/04/2017,4.41%,,,0.28%,46.17%,14.26%,"1,066.59","1,508.31"
10,BR-3693,State Bank of Patiala,Chennai,Urban,2017,Pre-Merger,2017-04-01,11.75%,6.27%,54.94%,0.93%,38.19%,11.84%,403.67,515.94
11,BR-8526,State Bank of India (Consolidated),Mumbai Metro,Metro,2019,Post-Merger,2017-04-01,1.50%,0.44%,48.51%,0.66%,42.69%,13.91%,816.68,"1,111.42"
12,BR-7585,State Bank of India (Parent),Mumbai Metro,Metro,2017,Pre-Merger,2017-04-01,11.09%,6.94%,51.09%,0.62%,40.74%,12.58%,126.93,159.11
13,BR-6249,State Bank of India (Consolidated),Kolkata,Urban,2018,Post-Merger,01/04/2017,6.55%,1.95%,47.17%,1.18%,48.13%,15.05%,602.25,806.83
14,BR-7287,State Bank of India (Parent),Chennai,Semi-Urban,2014,Pre-Merger,2017-04-01,6.89%,4.08%,58.05%,0.61%,36.61%,11.45%,"1,089.83","1,517.97"
15,BR-2843,State Bank of Mysore   ,Lucknow,Urban,2014,Pre-Merger,01/04/2017,11.79%,,,-0.12%,39.71%,13.09%,"1,240.46","1,633.14"
16,BR-6423,State Bank of India (Consolidated),Jaipur,Urban,2019,Post-Merger,2017-04-01,3.56%,1.53%,48.19%,1.05%,41.17%,12.52%,"1,110.86","1,576.46"
17,BR-2648,State Bank of India (Consolidated),Chennai,Semi-Urban,2021,Post-Merger,2017-04-01,7.14%,2.61%,51.39%,0.98%,44.92%,13.93%,716.76,"1,038.11"
18,BR-7944,State Bank of India (Consolidated)   ,Bengaluru,Semi-Urban,2019,Post-Merger,01/04/2017,2.22%,0.70%,50.13%,1.22%,46.99%,15.23%,887.00,"1,044.98"
19,BR-2045,State Bank of India (Consolidated),Lucknow,Semi-Urban,2019,Post-Merger,2017-04-01,6.50%,2.26%,47.43%,0.73%,48.55%,15.66%,"1,029.87","1,451.34"
20,BR-8683,State Bank of Patiala,Mumbai Metro,Semi-Urban,2016,Pre-Merger,2017-04-01,5.50%,2.79%,54.45%,0.46%,43.43%,11.82%,"1,141.76","1,639.48"
21,BR-1606,Bharatiya Mahila Bank,Jaipur,Metro,2016,Pre-Merger,2017-04-01,9.10%,4.86%,52.36%,0.28%,34.00%,10.72%,"1,278.78","1,827.38"
22,BR-5014,State Bank of India (Consolidated),Ahmedabad,Urban,2019,Post-Merger,2017-04-01,2.82%,0.91%,43.95%,0.42%,48.59%,13.56%,274.00,373.37
23,BR-3806,State Bank of Patiala,Delhi NCR,Urban,2015,Pre-Merger,2017-04-01,11.45%,7.37%,68.00%,1.15%,44.95%,12.46%,559.95,707.03
24,BR-1853,State Bank of Bikaner and Jaipur   ,Hyderabad,Urban,2016,Pre-Merger,01/04/2017,10.36%,6.19%,57.59%,-0.62%,39.11%,13.40%,260.43,340.30
25,BR-1004,State Bank of India (Consolidated),Hyderabad,Metro,2020,Post-Merger,2017-04-01,10.44%,3.94%,54.20%,0.10%,46.15%,13.31%,703.34,825.40
26,BR-6949,State Bank of India (Consolidated),Chandigarh,Semi-Urban,2020,Post-Merger,01/04/2017,7.52%,2.52%,45.80%,0.84%,45.10%,15.10%,420.50,495.42
27,BR-4343,State Bank of India (Consolidated)   ,Hyderabad,Metro,2018,Post-Merger,01/04/2017,6.62%,2.46%,53.48%,0.25%,43.81%,15.62%,100.44,119.00
28,BR-3141,State Bank of India (Consolidated),Kolkata,Semi-Urban,2019,Post-Merger,2017-04-01,4.56%,2.03%,49.86%,0.99%,43.82%,11.59%,"1,002.68","1,167.54"
29,BR-3849,State Bank of India (Parent),Bhopal,Rural,2017,Pre-Merger,2017-04-01,9.99%,6.53%,65.07%,-0.24%,42.85%,12.42%,117.65,155.97
30,BR-7833,State Bank of Mysore,Lucknow,Metro,2016,Pre-Merger,01/04/2017,7.88%,4.59%,57.59%,0.39%,42.76%,12.08%,"1,365.60","1,650.65"
31,BR-9945,State Bank of India (Parent),Jaipur,Semi-Urban,2016,Pre-Merger,01/04/2017,6.10%,3.80%,61.57%,-0.39%,37.70%,14.35%,574.64,822.31
